상호명,지점명,지번주소,도로명주소,경도,위도,단차/계단,확인불가
CU,강서화곡점,서울특별시 강서구 화곡동 24-80,서울특별시 강서구 화곡로42길 15,126.8464163,37.54652541,1,0
CU,염창동아점,서울특별시 강서구 염창동 258-1,서울특별시 강서구 양천로 731,126.8773789,37.55023878,1,0
CU,발산수명점,서울특별시 강서구 내발산동 754-2,서울특별시 강서구 수명로 31,126.8231327,37.5497646,1,0
GS25,화곡초록마을점,서울특별시 강서구 화곡동 59-12,서울특별시 강서구 초록마을로6길 6,126.8471355,37.54244174,1,0
GS25,화곡소담점,서울특별시 강서구 화곡동 24-36,서울특별시 강서구 화곡로44길 12,126.8471647,37.54789328,1,0
CU,908증미역점,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 560,126.8612291,37.55770687,1,0
GS25,방화5단지점,서울특별시 강서구 방화동 814,서울특별시 강서구 금낭화로 287-19,126.8102657,37.57679266,1,0
GS25,화곡한나점,서울특별시 강서구 화곡동 906-1,서울특별시 강서구 강서로5나길 21,126.8471372,37.52836757,1,0
CU,906양천향교역점,서울특별시 강서구 가양동 159-3,서울특별시 강서구 양천로 341,126.8407985,37.56875291,1,0
GS25,마곡라마다점,서울특별시 강서구 마곡동 760-1,서울특별시 강서구 마곡중앙로 161-11,126.8267064,37.56796495,1,3
CU,송정공항점,서울특별시 강서구 공항동 34-50,서울특별시 강서구 공항대로8길 17,126.8123622,37.56026188,1,0
CU,907가양역점,서울특별시 강서구 가양동 14-61,서울특별시 강서구 양천로 485,126.8543682,37.56154197,1,0
CU,SK해바라기주유소점,서울특별시 강서구 화곡동 20-1,서울특별시 강서구 화곡로 273,126.8469511,37.54926978,1,0
CU,방화해피점,서울특별시 강서구 방화동 574-2,서울특별시 강서구 양천로24가길 23,126.8143402,37.57257179,1,3
CU,화곡와이즈점,서울특별시 강서구 화곡동 105-59,서울특별시 강서구 까치산로 20,126.8428804,37.54173335,1,0
CU,화곡봉제산점,서울특별시 강서구 화곡동 155-7,서울특별시 강서구 강서로18바길 22,126.8496895,37.53603325,1,0
CU,강서해링턴점,서울특별시 강서구 화곡동 1170,서울특별시 강서구 강서로 231,126.8357619,37.54615953,1,0
세븐일레븐,마곡이너매스점,서울특별시 강서구 마곡동 771-4,서울특별시 강서구 마곡중앙6로 21,126.8296028,37.5608215,1,0
CU,강서한아름점,서울특별시 강서구 화곡동 504-141,서울특별시 강서구 등촌로13길 28,126.8617236,37.53560924,1,0
GS25,화곡푸르지오,서울특별시 강서구 화곡동 1091,서울특별시 강서구 화곡로13길 107,126.8322257,37.54723288,1,0
세븐일레븐,화곡신정초교점,서울특별시 강서구 화곡동 451-23,서울특별시 강서구 곰달래로31다길 8,126.8516991,37.53336772,1,3
GS25,강서LG사이언스,서울특별시 강서구 마곡동 789,서울특별시 강서구 마곡중앙10로 70,126.8354575,37.56353744,1,0
GS25,S9개화역점,서울특별시 강서구 개화동 388-1,서울특별시 강서구 개화동로8길 38,126.7949576,37.5804397,1,0
GS25,S9염창역점,서울특별시 강서구 염창동 284-84,서울특별시 강서구 공항대로 631,126.8749823,37.54705333,1,0
GS25,화곡그랜드점,서울특별시 강서구 화곡동 371-7,서울특별시 강서구 월정로32길 71,126.8390838,37.53627185,1,0
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡동 798-16,서울특별시 강서구 마곡중앙1로 14,126.8251914,37.55848006,1,0
CU,우장산힐스테이트점,서울특별시 강서구 내발산동 658,서울특별시 강서구 공항대로38길 80,126.8420339,37.55695251,1,0
CU,등촌3단지점,서울특별시 강서구 등촌동 688,서울특별시 강서구 강서로56나길 37,126.8408043,37.56107618,1,0
CU,강서웨스턴점,서울특별시 강서구 가양동 1461,서울특별시 강서구 허준로 47,126.8465254,37.57101653,1,0
미니스톱,강서우장산점,서울특별시 강서구 내발산동 674-3,서울특별시 강서구 강서로48길 47,126.8391039,37.55249066,1,0
GS25,방화초원로점,서울특별시 강서구 방화동 600-2,서울특별시 강서구 초원로 43,126.810192,37.56790778,1,0
세븐일레븐,마곡호서대기숙사점,서울특별시 강서구 마곡동 793-8,서울특별시 강서구 강서로 399,126.8386506,37.56128028,1,0
미니스톱,서울희망점,서울특별시 강서구 공항동 1356-10,서울특별시 강서구 방화대로6길 33,126.8186141,37.5549815,1,0
GS25,마곡루체점,서울특별시 강서구 마곡동 797-12,서울특별시 강서구 마곡동로4길 23,126.8361861,37.55963415,1,3
GS25,화곡지연점,서울특별시 강서구 화곡동 56-451,서울특별시 강서구 초록마을로8길 82,126.8478771,37.53910613,1,0
CU,등촌오피스점,서울특별시 강서구 등촌동 633-17,서울특별시 강서구 양천로66길 21,126.8651549,37.55407747,1,3
미니스톱,가양점,서울특별시 강서구 가양동 1480-8,서울특별시 강서구 양천로 461,126.852206,37.5630347,1,0
GS25,염창세빛점,서울특별시 강서구 염창동 272-21,서울특별시 강서구 공항대로65길 51,126.8699199,37.55031179,1,0
GS25,화곡타운점,서울특별시 강서구 화곡동 398-4,서울특별시 강서구 강서로18라길 23,126.8478883,37.53543903,1,0
GS25,방화행복점,서울특별시 강서구 방화동 246-48,서울특별시 강서구 양천로24길 93,126.8154262,37.56905067,1,0
CU,마곡사이언스타,서울특별시 강서구 마곡동 774-9,서울특별시 강서구 마곡중앙6로 42,126.8318545,37.560141,1,0
CU,화곡천량점,서울특별시 강서구 화곡동 796-1,서울특별시 강서구 곰달래로 260,126.8617783,37.53201463,1,0
GS25,S9신방화역점,서울특별시 강서구 방화동 217-156,서울특별시 강서구 방화대로 301,126.816512,37.56767397,1,0
CU,마곡미라벨점,서울특별시 강서구 마곡동 768-2,서울특별시 강서구 마곡서로 101,126.8235863,37.56266288,1,0
세븐일레븐,화곡대원점,서울특별시 강서구 화곡동 1036-35,서울특별시 강서구 화곡로21길 43,126.8364487,37.54274238,1,0
CU,등촌아름점,서울특별시 강서구 등촌동 643-71,서울특별시 강서구 공항대로53길 23,126.859953,37.55454995,1,0
CU,마곡미라클점,서울특별시 강서구 방화동 186-3,서울특별시 강서구 방화대로34길 60,126.8198224,37.57022098,1,0
GS25,화곡비젼점,서울특별시 강서구 화곡동 155-28,서울특별시 강서구 강서로18바길 2,126.8501321,37.53520861,1,0
세븐일레븐,마곡행복점,서울특별시 강서구 마곡동 800-15,서울특별시 강서구 마곡중앙2로 35,126.8305187,37.55798332,1,0
CU,공항대로점,서울특별시 강서구 염창동 272-9,서울특별시 강서구 공항대로 549,126.8670584,37.55020327,1,0
GS25,화곡베스트점,서울특별시 강서구 화곡동 936-15,서울특별시 강서구 월정로 112,126.8389679,37.52915253,1,0
세븐일레븐,화곡현대점,서울특별시 강서구 화곡동 410-17,서울특별시 강서구 초록마을로30길 7,126.8487882,37.53724988,1,0
세븐일레븐,마곡신사고점,서울특별시 강서구 마곡동 776-6,서울특별시 강서구 강서로 463,126.840442,37.56692032,1,0
세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 마곡동 746-1,서울특별시 강서구 공항대로 140,126.8231776,37.55914479,1,0
CU,강서스타점,서울특별시 강서구 등촌동 668,서울특별시 강서구 강서로54길 90,126.843616,37.55857186,1,0
CU,화곡트윈캐슬점,서울특별시 강서구 화곡동 56-252,서울특별시 강서구 초록마을로 71,126.8506657,37.54172829,1,0
CU,마곡한솔점,서울특별시 강서구 마곡동 716,서울특별시 강서구 양천로30길 77,126.8230977,37.56926255,1,0
CU,가양휴먼빌점,서울특별시 강서구 가양동 1479-4,서울특별시 강서구 양천로57길 13,126.8520051,37.56359139,1,0
GS25,마곡에이스점,서울특별시 강서구 마곡동 772-8,서울특별시 강서구 마곡동로 61,126.8331376,37.5606042,1,0
CU,화곡미래점,서울특별시 강서구 화곡동 410-246,서울특별시 강서구 초록마을로 122,126.8506142,37.53770917,1,0
CU,마곡바이셀프점,서울특별시 강서구 마곡동 717,서울특별시 강서구 양천로47길 94,126.8371898,37.57442995,1,0
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 38,126.8029375,37.57135746,1,0
세븐일레븐,강서화곡다솜점,서울특별시 강서구 화곡동 924-5,서울특별시 강서구 강서로7길 102,126.842034,37.5291466,1,0
GS25,가양2호점,서울특별시 강서구 가양동 1461,서울특별시 강서구 허준로 47,126.8465254,37.57101653,1,0
GS25,강서타운점,서울특별시 강서구 화곡동 1111-2,서울특별시 강서구 화곡로 346,126.8519974,37.55449989,1,0
세븐일레븐,가양한림점,서울특별시 강서구 가양동 192-9,서울특별시 강서구 강서로 511,126.8413419,37.57093874,1,0
GS25,S9증미역점,서울특별시 강서구 등촌동 666-40,서울특별시 강서구 양천로 560,126.8612291,37.55770687,1,0
GS25,염창신동아점,서울특별시 강서구 염창동 289,서울특별시 강서구 양천로67길 32,126.8688411,37.55504992,1,0
GS25,마곡퍼스트점,서울특별시 강서구 마곡동 773,서울특별시 강서구 마곡중앙로 76,126.8274815,37.560404,1,0
GS25,LG사이언스파크점,서울특별시 강서구 마곡동 770,서울특별시 강서구 마곡중앙10로 10,126.8302176,37.56348564,1,0
CU,화곡신월초교점,서울특별시 강서구 화곡동 1081-39,서울특별시 강서구 강서로31길 52,126.838765,37.53931422,1,0
GS25,강서화곡로점,서울특별시 강서구 화곡동 1086-3,서울특별시 강서구 화곡로18길 31,126.836078,37.53892735,1,0
GS25,강서트레벨점,서울특별시 강서구 가양동 1479-8,서울특별시 강서구 양천로57길 9-19,126.8509172,37.56367091,1,0
GS25,염창현대점,서울특별시 강서구 염창동 113-9,서울특별시 강서구 양천로75길 50,126.875657,37.55186228,1,0
GS25,가양글로벌점,서울특별시 강서구 가양동 448-11,서울특별시 강서구 화곡로72길 62,126.8587998,37.56040454,1,0
CU,화곡미라클점,서울특별시 강서구 화곡동 24-275,서울특별시 강서구 초록마을로5길 25,126.84742,37.54380508,1,0
CU,강서붐호텔점,서울특별시 강서구 외발산동 282-2,서울특별시 강서구 남부순환로 188,126.8195859,37.54862093,1,0
미니스톱,비즈메트로점,서울특별시 강서구 가양동 449-4,서울특별시 강서구 양천로 551-17,126.8609249,37.55910054,1,0
이마트24,마곡골든점,서울특별시 강서구 마곡동 795-6,서울특별시 강서구 마곡중앙6로 89,126.8372758,37.56015848,1,0
CU,화곡행복점,서울특별시 강서구 화곡동 421-16,서울특별시 강서구 강서로17길 89,126.8407748,37.53228787,1,0
CU,등촌주공점,서울특별시 강서구 등촌동 705-6,서울특별시 강서구 공항대로43길 39,126.8496375,37.55929745,1,0
GS25,가양데시앙점,서울특별시 강서구 등촌동 10-14,서울특별시 강서구 양천로 418,126.8477436,37.56468517,1,0
CU,등촌원룸점,서울특별시 강서구 등촌동 636,서울특별시 강서구 화곡로68길 132,126.8607377,37.55653079,1,0
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡동 29-52,서울특별시 강서구 화곡로42길 35,126.8474658,37.54597702,1,0
GS25,방화샤르망점,서울특별시 강서구 방화동 830-3,서울특별시 강서구 방화대로47가길 7,126.812987,37.57652271,1,0
CU,화곡영광점,서울특별시 강서구 화곡동 469-30,서울특별시 강서구 곰달래로53길 121,126.8560107,37.53628388,1,0
CU,목동먹자촌점,서울특별시 강서구 화곡동 783-10,서울특별시 강서구 곰달래로60가길 4,126.8630475,37.53038697,1,0
GS25,마곡동익점,서울특별시 강서구 마곡동 773-3,서울특별시 강서구 공항대로 195,126.8292573,37.55975486,1,0
CU,발산열린점,서울특별시 강서구 마곡동 795-7,서울특별시 강서구 마곡중앙6로 93,126.8376838,37.56012645,1,0
CU,송정역점,서울특별시 강서구 공항동 27-1,서울특별시 강서구 공항대로 43,126.8121499,37.56151218,1,0
GS25,화곡도래점,서울특별시 강서구 화곡동 967-23,서울특별시 강서구 까치산로20길 11,126.8508135,37.54831629,1,0
GS25,마곡SB점,서울특별시 강서구 마곡동 739-3,서울특별시 강서구 마곡중앙5로 81,126.8187513,37.5670837,1,0
GS25,공항다솔점,서울특별시 강서구 공항동 1367-5,서울특별시 강서구 방화대로6마길 22,126.8178146,37.55400939,1,0
GS25,강서센트레점,서울특별시 강서구 공항동 70-223,서울특별시 강서구 공항대로2길 25,126.808751,37.56029758,1,0
세븐일레븐,S방화역점,서울특별시 강서구 방화동 829-15,서울특별시 강서구 금낭화로 132,126.8126172,37.57699654,1,0
CU,마곡퀸즈점,서울특별시 강서구 마곡동 800-1,서울특별시 강서구 공항대로 212,126.8307769,37.55884186,1,0
미니스톱,화곡재성점,서울특별시 강서구 화곡동 938-2,서울특별시 강서구 월정로20길 25,126.8399421,37.52980184,1,0
CU,강서가로공원점,서울특별시 강서구 화곡동 368-3,서울특별시 강서구 가로공원로 216,126.8399507,37.53728052,1,0
CU,염창오피스점,서울특별시 강서구 염창동 283-2,서울특별시 강서구 공항대로 653-9,126.8774609,37.54778874,1,0
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡동 1091,서울특별시 강서구 화곡로13길 107,126.8304125,37.54233134,1,0
CU,이웰메디파크점,서울특별시 강서구 마곡동 801-7,서울특별시 강서구 마곡중앙4로 74,126.8349005,37.55787347,1,0
CU,강서부민병원점,서울특별시 강서구 등촌동 657,서울특별시 강서구 공항대로 389,126.8508862,37.55684979,1,0
GS25,화곡대원점,서울특별시 강서구 화곡동 1021,서울특별시 강서구 화곡로21길 87,126.835898,37.54468318,1,0
GS25,강서우장점,서울특별시 강서구 화곡동 1012-7,서울특별시 강서구 강서로45다길 35,126.8349893,37.54635915,1,0
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡동 980-21,서울특별시 강서구 화곡로 296,126.8490706,37.55053388,1,0
CU,메트로점,서울특별시 강서구 화곡동 1074-30,서울특별시 강서구 화곡로26가길 2,126.8398375,37.54093761,1,0
GS25,발산에너지점,서울특별시 강서구 등촌동 671-3,서울특별시 강서구 강서로56길 50,126.8415128,37.55917295,1,0
CU,화곡시원점,서울특별시 강서구 화곡동 373-5,서울특별시 강서구 가로공원로76길 38,126.8373106,37.53533535,1,0
GS25,뉴마곡12단지점,서울특별시 강서구 마곡동 798-12,서울특별시 강서구 마곡중앙1로 26,126.8238423,37.5586198,1,0
CU,화곡더숨점,서울특별시 강서구 화곡동 102-348,서울특별시 강서구 초록마을로34길 57,126.8450504,37.53823155,1,0
