"시설명","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","설치장소설명","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","동시사용가능대수","공기주입가능여부","휴대전화충전가능여부","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","작업일시"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 선유로47길 30","서울특별시 영등포구 양평동4가 96","37.5365013611","126.8940394192","양평2동주민센터 1층(청사건물 1층 엘리베이터 탑승 층 옆)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7440","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 여의대로 24","서울특별시 영등포구 여의도동 28-1","37.52216363","126.9199166","여의도디지털도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2629-2222","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 국제금융로 124","서울특별시 영등포구 여의도동 53-22","37.517642","126.934614","여의동주민센터 3층 (화장실 앞)","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7126","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 당산로 123","서울특별시 영등포구 당산동3가 385-1","37.525964","126.8963671","영등포구청 보건소 민원실 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-3114","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도림로 482","서울특별시 영등포구 문래동3가 76-2","37.51685634","126.8905583","영등포노인종합복지관 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 영등포구","02-2068-0075","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로53길 22","서울특별시 영등포구 영등포동2가 222-2","37.520349","126.910671","영등포동 주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7086","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 신길로61길 17","서울특별시 영등포구 영등포동 592-70","37.514648","126.909337","영등포본동 주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2670-1027","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 경인로 846","서울특별시 영등포구 영등포동3가 33","37.51566803","126.907666","영등포역 기차역 인포메이션 옆","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","Y","서울특별시 영등포구","02-2639-3530","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로 103","서울특별시 영등포구 당산동2가 37","37.5220531","126.893181","이음장애인자립생활센터 12층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-6081-5900","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 당산로29길 9","서울특별시 영등포구 당산동3가 407","37.52598149","126.8939756","치매지원센터 3층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-831-0855","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 선유동1로 80","서울특별시 영등포구 당산동3가 560","37.5286199000","126.8944899765","푸드마켓 1호점 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2632-1377","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도신로54길 9-17","서울특별시 영등포구 신길동 157-33","37.5109481349","126.9157545982","푸드마켓 2호점 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-843-1377","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 국회대로62길 14","서울특별시 영등포구 여의도동 18-3","37.5267037655","126.9164756212","해오름장애인자립생활센터 2층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 영등포구","02-786-8500","2022-11-23","3180000","2023-03-15 14:37:55.0"
"용산행복장애인자립생활센터","서울특별시","용산구","11170","서울특별시 용산구 청파로47길 66","","37.5450675016","126.9667704598","3층 시설 내","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 용산구청","02-2199-7103","2022-11-22","3020000","2023-03-15 14:37:55.0"
"이태원2동 주민센터","서울특별시","용산구","11170","서울특별시 용산구 회나무로13길 58","","37.54192034","126.9901955289","1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 용산구청","02-2199-7103","2022-11-22","3020000","2023-03-15 14:37:55.0"
"한강진역","서울특별시","용산구","11170","서울특별시 용산구 이태원로 지하 287","","37.54025568","127.0017482876","지하 1층 대합실","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","서울특별시 용산구청","02-2199-7103","2022-11-22","3020000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 신길로 55","서울특별시 영등포구 신길동 440-57","37.49759583","126.9079900418","구립 장애인사랑나눔의 집 정문 입구 왼쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-846-0041","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 양산로23길 11","서울특별시 영등포구 당산동3가 250","37.52516442","126.8974018","당산1동주민센터 1층 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-1452","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 당산로41가길 7","서울특별시 영등포구 당산동4가 80-5","37.53101151","126.897349","당산2동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7233","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 디지털로 441","서울특별시 영등포구 대림동 899-2","37.49545723","126.905842","대림1동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7893","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 대림로23길 25","서울특별시 영등포구 대림동 705","37.49273981","126.898252","대림2동 주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2670-7925","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 대림로 197","서울특별시 영등포구 대림동 740-4","37.498315","126.898022","대림3동 주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2670-1438","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도림로 136","서울특별시 영등포구 대림동 1050-1","37.4930111983","126.8974232641","대림역 7호선 방향 B1층 화장실 옆","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","N","서울특별시 영등포구","02-6311-7441","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도신로 27","서울특별시 영등포구 대림동 608-2","37.504318","126.8960774","대림정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-828-3700","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도신로33길 4","서울특별시 영등포구 도림동 75","37.509955","126.908026","도림동 자치회관","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-832-1779","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도영로7길 10","서울특별시 영등포구 도림동 222-7","37.5094934","126.8959996","도림동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7283","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영신로40길 16","서울특별시 영등포구 영등포동6가 67-3","37.5210837511","126.9030169332","라피드보호작업장 7층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2677-8008","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 문래로28길 15","서울특별시 영등포구 문래동3가 55-16","37.51710975","126.8995233","문래동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-7345-7340","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 문래로20길 49","서울특별시 영등포구 문래동3가 98","37.51680639","126.8908946","문래정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2629-8617","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 디지털로 441","서울특별시 영등포구 대림동 899-2","37.49545723","126.905842","보건소 분소(대림1동주민센터) 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 영등포구","02-2670-4858","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 선유로43가길 10-8","서울특별시 영등포구 양평동3가 88-1","37.533331","126.892916","선유정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2163-0800","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 버드나루로 22","서울특별시 영등포구 영등포동2가 94-379","37.52085827","126.9129017","시립영등포장애인복지관 정문 입구","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3667-7979","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 영등포로84길 24-5","서울특별시 영등포구 신길동 465-1","37.511118","126.921465","신길1동 주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 영등포구","02-2670-1259","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 신길로42길 1","","37.508409","126.911286","신길4동주민센터","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7690","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 대방천로 169","서울특별시 영등포구 신길동 3741-11","37.499333","126.909836","신길6동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3457-7785","2022-11-23","3180000","2023-03-15 14:37:55.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 여의대방로43길 10","서울특별시 영등포구 신길동 897-3","37.50639203","126.9215141","신길7동주민센터입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-1459","2022-11-23","3180000","2023-03-15 14:37:55.0"
"구로구청","서울특별시","구로구","11530","서울특별시 구로구 가마산로 245","서울특별시 구로구 구로동 435","37.49551123","126.8882891","구로구청 본관 1층","09:00","18:00","09:00","18:00","09:00","18:00","2","N","Y","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로구민체육센터","서울특별시","구로구","11530","서울특별시 구로구 고척로45길 39","서울특별시 구로구 고척동 산9-14","37.50658242","126.8532783","구로구민체육센터 1층","06:00","22:00","06:00","19:00","00:00","00:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로구시설관리공단","서울특별시","구로구","11530","서울특별시 구로구 구로동로26길 54","서울특별시 구로구 구로동 741-27","37.48987838","126.8865593","구로구시설관리공단 1층","06:00","23:00","06:00","23:00","06:00","23:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로구민회관","서울특별시","구로구","11530","서울특별시 구로구 가마산로25길 21","서울특별시 구로구 구로동 102","37.49710368","126.8895474","구로구민회관 1층","09:00","18:00","09:00","18:00","00:00","00:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"성프란치스꼬장애인종합복지관","서울특별시","구로구","11530","서울특별시 구로구 남부순환로105라길 25-10","서울특별시 구로구 가리봉동 131-1","37.48180209","126.8905627","성프란치스꼬장애인종합복지관 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로구보건소","서울특별시","구로구","11530","서울특별시 구로구 구로중앙로28길 66","서울특별시 구로구 구로동 109-4","37.50010203","126.8893394","보건소 2층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"신도림역","서울특별시","구로구","11530","서울특별시 구로구 새말로 지하 117-21","서울특별시 구로구 신도림동 460-26","37.50877132","126.891082","신도림역 2호선","06:00","23:00","06:00","23:00","06:00","23:00","2","N","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"천왕역","서울특별시","구로구","11530","서울특별시 구로구 오리로 지하 1154","서울특별시 구로구 천왕동 14-43","37.48682059","126.8387128","천왕역 7호선","06:00","23:00","06:00","23:00","06:00","23:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"온수역","서울특별시","구로구","11530","서울특별시 구로구 경인로3길 지하 64","서울특별시 구로구 온수동 53-16","37.49215065","126.8233816","온수역 7호선","06:00","23:00","06:00","23:00","06:00","23:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구일역","서울특별시","구로구","11530","서울특별시 구로구 구일로 133","서울특별시 구로구 구로동 636-46","37.49639172","126.8699216","구일역 1호선","06:00","23:00","06:00","23:00","06:00","23:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"대림역","서울특별시","구로구","11530","서울특별시 구로구 도림천로 351","서울특별시 구로구 구로동 1204","37.49330996","126.8949446","대림역 2호선","06:00","23:00","06:00","23:00","06:00","23:00","2","Y","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로조은장애인자립생활센터","서울특별시","구로구","11530","서울특별시 구로구 디지털로31길 38-21","서울특별시 구로구 구로동 197-33","37.48652247","126.8937149","2층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 구로구청","02-860-2381","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로장애인자립생활센터","서울특별시","구로구","11530","서울특별시 구로구 가마산로27길 14","서울특별시 구로구 구로동 106-8","37.49772931","126.8918534","8층","09:30","18:30","00:00","00:00","00:00","00:00","2","N","Y","서울특별시 구로구청","02-860-2382","2023-01-01","3160000","2023-03-15 14:37:55.0"
"구로3동주민센터","서울특별시","구로구","11530","서울특별시 구로구 디지털로 31길 109","서울특별시 구로구 구로동 777-22","37.48734704","126.8903299561","1층 복도","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"오류1동주민센터","서울특별시","구로구","11530","서울특별시 구로구 경인로27길 7","서울특별시 구로구 오류동 359","37.497288","126.844942","지하1층 엘리베이터 옆","09:00","18:00","00:00","00:00","00:00","00:00","2","N","N","서울특별시 구로구청","02-860-2374","2023-01-01","3160000","2023-03-15 14:37:55.0"
"총신대학교","서울특별시","동작구","11590","서울특별시 동작구 사당로 143","서울특별시 동작구 사당동 200-1","37.48792793","126.9667615","총신대학교 종합관 1층 로비 왼편","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","총신대학교","02-3479-0543","2022-08-01","3190000","2023-03-15 14:37:55.0"
"서울시립남부장애인종합복지관","서울특별시","동작구","11590","서울특별시 동작구 여의대방로 20길 33","서울특별시 동작구 신대방동 722","37.49538106","126.9189142","복지관 출입시 현관 왼쪽편에 설치","09:00","20:00","00:00","00:00","00:00","00:00","2","N","Y","서울시립남부장애인종합복지관","02-829-7112","2022-08-01","3190000","2023-03-15 14:37:55.0"
"숙대입구역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 306","","37.54549626","126.9722388","지하1층 5번 출입구쪽","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","서울특별시 용산구청","02-2199-7103","2022-11-22","3020000","2023-03-15 14:37:55.0"
"중림종합사회복지관","서울특별시","중구","11140","서울특별시 중구 서소문로6길 16","서울특별시 중구 중림동 155-1","37.5594302574","126.9662595287","중림종합사회복지관 1층 안내데스크 앞","08:00","18:00","10:00","18:00","10:00","18:00","2","N","Y","중림종합사회복지관","02-362-3348","2023-03-03","3010000","2023-03-15 14:37:55.0"
"신당종합사회복지관","서울특별시","중구","11140","서울특별시 중구 동호로11길 22","서울특별시 중구 신당동 361-18","37.5543613581","127.0095230604","신당종합사회복지관 1층 안내데스크 옆","09:00","19:00","10:00","18:00","10:00","18:00","2","N","Y","신당종합사회복지관","02-2231-1876","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구종합복지센터","서울특별시","중구","11140","서울특별시 중구 퇴계로 460","서울특별시 중구 신당동 160-2","37.5650915889","127.0227850732","중구종합복지센터  1층 중문","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","지체장애인협회중구지회","02-2237-2472","2023-03-03","3010000","2023-03-15 14:37:55.0"
"동대문문화역사공원","서울특별시","중구","11140","서울특별시 중구 마른내로 지하 162","서울특별시 중구 광희동1가 235-6","37.5645770081","127.0059161801","동대문역사문화공원역 4호선 지하1층 역무실 앞 엘리베이터 뒤편","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울교통공사(동대문역사문화공원역)","02-2266-7188","2023-03-03","3010000","2023-03-15 14:37:55.0"
"강북문화예술회관","서울특별시","강북구","11305","서울특별시 강북구 삼각산로 85","서울특별시 강북구 수유동 360-10","37.6409894","127.0138774","1층 입구","06:00","22:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 강북구청","02-901-6677","2022-10-04","3080000","2023-03-15 14:37:56.0"
"동대문문화역사공원","서울특별시","중구","11140","서울특별시 중구 을지로 지하 279","서울특별시 중구 을지로7가 112-3","37.5655895229","127.0091314984","동대문역사문화공원역 2호선(2번출구 하부 비상출입문 옆)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울교통공사(동대문역사문화공원역)","02-2266-7788","2023-03-03","3010000","2023-03-15 14:37:55.0"
"충무로역","서울특별시","중구","11140","서울특별시 중구 퇴계로지하 214","서울특별시 중구 필동2가 16-2","37.5611721437","126.9941108000","충무로역 4호선 지하1층(유실물센터 앞)","05:30","23:59","05:30","23:59","05:30","23:59","2","N","Y","서울교통공사(충무로역)","02-6110-4231","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구구민회관","서울특별시","중구","11140","서울특별시 중구 을지로39길 41","서울특별시 중구 을지로6가 1-17","37.5684551018","127.0053535778","구민회관 1층 정문 현관옆","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","중구 어르신장애인복지과","02-3396-5532","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구보건소","서울특별시","중구","11140","서울특별시 중구 다산로39길 16","서울특별시 중구 무학동 50-5","37.5645857419","127.0150950952","보건소 1층 엘리베이터옆","09:00","18:00","00:00","00:00","00:00","00:00","1","N","N","중구 어르신장애인복지과","02-3396-5532","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구청 별관","서울특별시","중구","11140","서울특별시 중구 창경궁로 17","서울특별시 중구 예관동 120-1","37.5641201543","126.9980097289","중구청 별관1층","09:00","18:00","00:00","00:00","00:00","00:00","1","N","N","중구 어르신장애인복지과","02-3396-5532","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구교육지원센터","서울특별시","중구","11140","서울특별시 중구 다산로38길 85","서울특별시 중구 신당동 62-44","37.5613991452","127.0196679251","교육지원센터 이로움 지하출입구","09:00","18:00","09:00","18:00","00:00","00:00","2","N","Y","중구교육지원센터 이로움","02-3396-4690","2023-03-03","3010000","2023-03-15 14:37:55.0"
"약수역","서울특별시","중구","11140","서울특별시 중구 다산로 지하 115","서울특별시 중구 신당동 369-2","37.5538914380","127.0101205435","약수역 6호선 환승구간","05:30","23:50","05:30","23:59","05:30","23:59","2","N","Y","서울교통공사 약수역","02-6110-3331","2023-03-03","3010000","2023-03-15 14:37:55.0"
"DDP","서울특별시","중구","11140","서울특별시 중구 을지로 281","서울특별시 중구 을지로7가 143","37.5680142223","127.0109091409","DDP 디자인장터 옆 벽면","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","DDP","02-2153-0000","2023-03-03","3010000","2023-03-15 14:37:55.0"
"국립중앙의료원","서울특별시","중구","11140","서울특별시 중구 을지로 245","서울특별시 중구 을지로6가 18-79","37.5677264605","127.0054846019","국립중앙의료원 1층 출입구","00:00","23:59","00:00","23:59","00:00","23:59","2","N","Y","국립중앙의료원","02-2260-7114","2023-03-03","3010000","2023-03-15 14:37:55.0"
"중구청 본관","서울특별시","중구","11140","서울특별시 중구 창경궁로 17","서울특별시 중구 예관동 120-1","37.5641201543","126.9980097289","중구청 본관1층","09:00","18:00","00:00","00:00","00:00","00:00","2","N","Y","중구 어르신장애인복지과","02-3396-5532","2023-03-03","3010000","2023-03-15 14:37:55.0"
