시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호,위도,경도
푸른터,C2043,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 초록마을로26길 35-8,4,4,02-3661-3431,7724,37.5380677,126.8506036
푸른터2호,C2044,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 화곡로13길 20-9201호,4,4,02-2695-0815,7711,37.5433955,126.832903
푸른터3호,C2045,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 허준로5길 37B동 3층 (가양동)(가양동),4,4,02-2695-0816,7524,37.5686089,126.8507035
강서희망의집,C2057,(장애인) 장애인단기거주시설,장애인거주시설,자치구,유주경,1150000000,강서구,서울특별시 강서구 강서로34길 36,10,10,02-2605-7980,7700,37.5430957,126.8411151
화곡성모공동생활가정,C2087,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이철우,1150000000,강서구,"서울특별시 강서구 초록마을로24길 7-8B동 502호 (화곡동, 태영팰리스)",4,4,02-2605-6652,7724,37.5380677,126.8506036
로사리아공동생활가정,C2098,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이철우,1150000000,강서구,"서울특별시 강서구 초록마을로24길 7-8B동 202호 (화곡동, 태영팰리스)",4,4,02-2696-6521,7724,37.5380677,126.8506036
샬롬의 집,C2135,(장애인) 장애유형별거주시설,장애인거주시설,자치구,박기순,1150000000,강서구,서울특별시 강서구 방화대로7가길 11,20,15,070-4231-2489,157818,37.557913,126.8148236
임마누엘등촌공동체,C7039,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1150000000,강서구,"서울특별시 강서구 공항대로39길 74502-902 (등촌동, 등촌5단지주공아파트)",4,4,02-3665-3831,7586,37.5613245,126.8445763
열린마음하나,C7761,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이연옥,1150000000,강서구,서울특별시 강서구 초록마을로16길 20201호,4,4,02-2604-7328,7723,37.5411482,126.8497089
로뎀하우스,C8028,(장애인) 장애인단기거주시설,장애인거주시설,자치구,이우형,1150000000,강서구,서울특별시 강서구 공항대로45가길 29102동 201호 (등촌동),10,11,02-2606-5467,7572,37.5562772,126.8538202
성산푸른초장단기보호시설,C8304,(장애인) 장애인단기거주시설,장애인거주시설,자치구,홍금화,1150000000,강서구,서울특별시 강서구 양천로30길 142층,10,12,02-2692-5665,7593,37.56814765,126.8232238
열린마음,C8318,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이연옥,1150000000,강서구,"서울특별시 강서구 초록마을로34길61, 201호 (화곡동)",4,4,226997324,7730,37.5375548,126.8455
늘푸른집,C8420,(장애인) 장애인단기거주시설,장애인거주시설,자치구,임혜숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 1301층 ,10,10,02-2038-2165,7501,37.5857871,126.8150432
여호와닛시의집,C8627,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정영자,1150000000,강서구,서울특별시 강서구 방화동로5길38-7 (방화동),4,3,02-2665-0326,7620,37.5644587,126.8099205
H2빌,C8644,(장애인) 중증장애인거주시설,장애인거주시설,자치구,김은숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 130-0,30,30,269252366,7501,37.5857871,126.8150432
교남공동생활가정2호,C9000,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,"서울특별시 강서구 초록마을로19길 12, 301호 (화곡동)",4,4,226023384,157650,37.5408513,126.8523497
행복이가득한집 2호,C9181,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김세룡,1150000000,강서구,"서울특별시 강서구 월정로18길 20, 401호 (화곡동)",3,3,222369081,157650,37.5292843,126.8400084
주은공동생활가정,C9405,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김명희,1150000000,강서구,"서울특별시 강서구 강서로5라길 138, 2층 (화곡동)",4,3,226905746,7783,37.5299233,126.8541161
